id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
tt0255819,Baby Boy,(2001),6.4,R,130 min,"Crime, Drama, Romance",14674,"28,734,552",nm0005436,John Singleton,"nm0942189,nm0879085,nm0378245,nm0328954","Alexsandra Wright,Tyrese Gibson,Taraji P. Henson,Omar Gooding","In South Central L.A., a misguided 20-year-old African-American man, a ""baby boy"", faces the commitments of real life."
tt0083908,Evil Under the Sun,(1982),7.0,PG,117 min,"Crime, Drama, Mystery",17084,"6,110,000",nm0357891,Guy Hamilton,"nm0001811,nm0000051,nm0001749,nm0086780","Peter Ustinov,James Mason,Maggie Smith,Colin Blakely","Trying to find how a millionaire wound up with a phony diamond brings Hercule Poirot to an exclusive island resort frequented by the rich and famous. When a murder is committed, everyone has an alibi."
tt1988591,Death Race: Inferno,(2013 Video),5.4,R,104 min,"Action, Crime, Sci-Fi","19,924","6,110,000",nm0004152,Roel Reiné,"nm0331577,nm1801063,nm0001803,nm0000609","Luke Goss,Tanit Phoenix,Danny Trejo,Ving Rhames","Convicted cop-killer Carl Lucas, aka Frankenstein, is a superstar driver in the brutal prison yard demolition derby known as Death Race. Only one victory away from winning freedom for himself and his pit crew."
tt0044231,Adventures of Superman,(1952–1958),7.7,TV-G,30 min,"Action, Adventure, Crime","3,928","6,110,000",Anonymous,nm0000000,"nm0001660,nm0624747,nm0489001,nm0357963","George Reeves,Noel Neill,Jack Larson,John Hamilton",The Man of Steel fights crime with help from his friends at the Daily Planet.
tt0373474,1-800-Missing,(2003–2006),6.3,TV-14,60 min,"Crime, Drama, Mystery","1,368","6,110,000",Anonymous,nm0000000,"nm0778741,nm0000407,nm0176175,nm0274371","Caterina Scorsone,Vivica A. Fox,Mark Consuelos,Louis Ferreira","Two FBI agents - one guided by reason, and another by intuition - looking for missing people in Washington, D.C."
tt9398466,Delhi Crime,(2019– ),8.5,TV-MA,50 min,"Crime, Drama","19,092","6,110,000",Anonymous,nm0000000,"nm0156858,nm5685980,nm2975619,nm3189957","Shefali Shah,Rajesh Tailang,Rasika Dugal,Anurag Arora","Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime."
tt8667956,Freud,(2020– ),6.5,TV-MA,55 min,"Crime, Thriller","11,676","6,110,000",Anonymous,nm0000000,"nm5315559,nm5050688,nm0295429,nm3262089","Robert Finster,Ella Rumpf,Georg Friedrich,Christoph F. Krutzler","Young Czech-Austrian psychoanalyst, Sigmund Freud, investigates a murder conspiracy in 1880's Vienna."
tt4463816,Terminal,(I) (2018),5.3,Not Rated,95 min,"Crime, Drama, Thriller","22,358","6,110,000",nm2389363,Vaughn Stein,"nm3053338,nm0670408,nm0002077,nm0000196","Margot Robbie,Simon Pegg,Dexter Fletcher,Mike Myers","A film noir taking place in a train terminal at night. Add 2 male assassins, female assassin, waitress, teacher, janitor and crime boss. Add revenge. Who says mystery is a lost art?"
tt0116830,Last Man Standing,(1996),6.4,R,101 min,"Action, Crime, Drama",58094,"17,600,000",nm0001353,Walter Hill,"nm0000246,nm0001136,nm0761836,nm0000686","Bruce Willis,Bruce Dern,William Sanderson,Christopher Walken",A drifting gunslinger-for-hire finds himself in the middle of an ongoing war between the Irish and Italian mafia in a Prohibition era ghost town.
tt9100822,The Valhalla Murders,(2019–2020),7.1,TV-MA,50 min,"Crime, Drama, Mystery","13,557","17,600,000",Anonymous,nm0000000,"nm8286239,nm1292181,nm1156555,nm1907967","Aldís Amah Hamilton,Nína Dögg Filippusdóttir,Björn Thors,Arndís Hrönn Egilsdóttir",Police profiler Arnar is sent back home from Oslo to his native Iceland to investigate the country's first serial killer case. He teams up with the local senior cop Kata.
tt2427220,Crossing Lines,(2013–2015),7.3,TV-14,43 min,"Action, Crime, Drama","13,026","17,600,000",Anonymous,nm0000000,"nm0937239,nm0000661,nm4468181,nm0001209","Tom Wlaschiha,Donald Sutherland,Lara Rossi,William Fichtner","A special crime unit investigates serialized crimes that cross over European borders, to hunt down criminals and bring them to justice."
tt0080907,The Hunter,(1980),6.2,PG,97 min,"Action, Biography, Comedy","6,176","17,600,000",nm0474539,Buzz Kulik,"nm0000537,nm0908919,nm0002130,nm0000996","Steve McQueen,Eli Wallach,Kathryn Harrold,LeVar Burton","Bounty hunter Ralph ""Papa"" Thorson is receiving death threats from a criminal he helped put away. This while his girlfriend is about to give birth, an event he isn't looking forward to."
tt0098577,Vampire's Kiss,(1988),6.0,R,103 min,"Comedy, Crime, Fantasy",17298,"725,131",nm0081590,Robert Bierman,"nm0000115,nm0000744,nm0000884,nm0039051","Nicolas Cage,Maria Conchita Alonso,Jennifer Beals,Elizabeth Ashley","After an encounter with a neck-biter, a publishing executive thinks that he's turning into a vampire."
tt13759970,Taxi Driver,(2021– ),8.0,Not Certified,70 min,"Action, Crime, Drama","2,520","725,131",Anonymous,nm0000000,"nm2043703,nm4619220,nm0453440,nm9083712","Lee Jehoon,Esom,Kim Eui-sung,Pyo Ye-Jin",The story of a deluxe taxi driver who gets revenge on behalf of his passengers. It is based on the webtoon Deluxe Taxi by Carlos and Lee Jae-jin
